I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-14, 9, 24, 2, -19, 17, 39, 19, 48, 58, 58, 39, 
-14, 14, 29, 0, -21, 21, 34, 19, 48, 63, 58, 39, 
-19, 9, 29, 4, -24, 19, 34, 14, 48, 58, 63, 43, 
-19, 9, 29, 4, -24, 19, 34, 19, 48, 63, 68, 53, 
-19, 14, 34, 2, -26, 24, 34, 19, 53, 63, 68, 53, 
-14, 24, 39, -4, -26, 31, 34, 19, 58, 68, 73, 58, 
-14, 29, 43, -7, -29, 36, 34, 19, 63, 73, 73, 58, 
-19, 29, 48, -4, -34, 39, 39, 29, 63, 73, 73, 58, 
-19, 29, 48, -4, -34, 39, 39, 29, 63, 73, 68, 53, 
-19, 34, 53, -7, -36, 43, 39, 29, 58, 78, 68, 53, 
-19, 34, 53, -7, -36, 43, 39, 24, 58, 78, 68, 53, 
-14, 34, 48, -9, -31, 41, 34, 19, 53, 68, 68, 58, 
-9, 34, 43, -12, -26, 39, 29, 14, 53, 73, 73, 58, 
-9, 34, 43, -12, -26, 39, 29, 19, 58, 73, 78, 63, 
0, 34, 34, -17, -17, 34, 24, 19, 58, 68, 73, 63, 
0, 39, 39, -19, -19, 39, 24, 19, 58, 68, 73, 63, 
0, 39, 39, -19, -19, 39, 24, 19, 58, 73, 78, 68, 
-9, 39, 48, -14, -29, 43, 24, 19, 58, 68, 78, 63, 
-14, 39, 53, -12, -34, 46, 24, 19, 58, 68, 78, 58, 
-9, 39, 48, -14, -29, 43, 19, 24, 58, 68, 78, 63, 
4, 43, 39, -24, -17, 41, 9, 19, 53, 73, 82, 58, 
4, 48, 43, -26, -19, 46, 9, 19, 53, 73, 82, 63, 
4, 48, 43, -26, -19, 46, 9, 14, 53, 78, 87, 73, 
0, 48, 48, -24, -24, 48, 9, 14, 58, 82, 87, 78, 
4, 53, 48, -29, -21, 51, 4, 14, 58, 82, 92, 78, 
4, 63, 58, -34, -26, 61, 0, 24, 63, 82, 92, 78, 
-9, 58, 68, -24, -39, 63, 0, 19, 58, 78, 97, 78, 
0, 63, 63, -31, -31, 63, -9, 19, 63, 87, 97, 82, 
4, 63, 58, -34, -26, 61, -9, 24, 63, 87, 102, 82, 
14, 63, 48, -39, -17, 56, -9, 24, 63, 87, 102, 87, 
19, 68, 48, -43, -14, 58, -14, 24, 58, 87, 102, 82, 
19, 68, 48, -43, -14, 58, -19, 19, 58, 87, 107, 82, 
24, 73, 48, -48, -12, 61, -24, 19, 58, 92, 107, 82, 
24, 78, 53, -51, -14, 65, -29, 19, 63, 97, 107, 87, 
34, 82, 48, -58, -7, 65, -29, 19, 63, 97, 107, 92, 
34, 82, 48, -58, -7, 65, -29, 14, 63, 102, 112, 97, 
34, 87, 53, -61, -9, 70, -34, 9, 58, 97, 112, 97, 
39, 92, 53, -65, -7, 73, -39, 9, 58, 102, 107, 97, 
43, 97, 53, -70, -4, 75, -39, 9, 58, 97, 107, 102, 
53, 107, 53, -80, 0, 80, -39, 9, 58, 97, 107, 97, 
63, 112, 48, -87, 7, 80, -43, 9, 53, 92, 107, 102, 
63, 112, 48, -87, 7, 80, -48, 4, 53, 97, 112, 107, 
73, 122, 48, -97, 12, 85, -58, 4, 48, 102, 107, 112, 
73, 126, 53, -100, 9, 90, -63, 4, 48, 97, 112, 117, 
73, 131, 58, -102, 7, 95, -68, -9, 43, 102, 112, 122, 
68, 131, 63, -100, 2, 97, -73, -14, 43, 102, 112, 122, 
73, 136, 63, -104, 4, 100, -73, -14, 48, 102, 117, 122, 
78, 141, 63, -109, 7, 102, -78, -14, 48, 107, 122, 122, 
87, 141, 53, -114, 17, 97, -87, -19, 48, 102, 117, 122, 
97, 141, 43, -119, 26, 92, -87, -19, 43, 102, 117, 122, 
97, 141, 43, -119, 26, 92, -92, -19, 39, 102, 122, 122, 
102, 141, 39, -122, 31, 90, -97, -19, 39, 107, 122, 126, 
102, 136, 34, -119, 34, 85, -102, -29, 34, 97, 117, 126, 
102, 141, 39, -122, 31, 90, -107, -29, 29, 97, 117, 117, 
107, 151, 43, -129, 31, 97, -112, -39, 29, 97, 122, 122, 
112, 156, 43, -134, 34, 100, -112, -39, 29, 97, 117, 122, 
117, 156, 39, -136, 39, 97, -117, -39, 29, 97, 112, 117, 
117, 156, 39, -136, 39, 97, -117, -39, 29, 97, 117, 117, 
122, 156, 34, -139, 43, 95, -117, -43, 29, 92, 117, 112, 
117, 146, 29, -131, 43, 87, -122, -43, 24, 92, 112, 117, 
117, 141, 24, -129, 46, 82, -126, -43, 19, 92, 112, 117, 
122, 146, 24, -134, 48, 85, -131, -48, 19, 92, 112, 117, 
122, 151, 29, -136, 46, 90, -131, -48, 19, 92, 112, 117, 
117, 151, 34, -134, 41, 92, -131, -53, 19, 92, 107, 117, 
122, 156, 34, -139, 43, 95, -131, -53, 24, 97, 112, 117, 
122, 156, 34, -139, 43, 95, -131, -48, 24, 97, 112, 122, 
122, 165, 43, -143, 39, 104, -126, -48, 29, 92, 112, 122, 
112, 161, 48, -136, 31, 104, -122, -48, 34, 97, 117, 122, 
112, 156, 43, -134, 34, 100, -122, -43, 34, 97, 112, 117, 
112, 151, 39, -131, 36, 95, -122, -39, 34, 92, 102, 112, 
107, 151, 43, -129, 31, 97, -117, -34, 34, 92, 97, 112, 
107, 146, 39, -126, 34, 92, -112, -39, 43, 92, 97, 107, 
102, 136, 34, -119, 34, 85, -107, -34, 48, 92, 97, 107, 
97, 136, 39, -117, 29, 87, -102, -34, 48, 97, 92, 107, 
87, 122, 34, -104, 26, 78, -97, -34, 48, 92, 92, 107, 
87, 117, 29, -102, 29, 73, -92, -34, 48, 92, 92, 97, 
78, 107, 29, -92, 24, 68, -82, -29, 48, 92, 82, 92, 
78, 97, 19, -87, 29, 58, -78, -29, 48, 82, 78, 87, 
68, 92, 24, -80, 21, 58, -73, -29, 53, 82, 73, 82, 
58, 78, 19, -68, 19, 48, -68, -34, 53, 78, 68, 78, 
53, 68, 14, -61, 19, 41, -63, -29, 53, 78, 68, 78, 
48, 63, 14, -56, 17, 39, -63, -24, 53, 82, 63, 73, 
43, 53, 9, -48, 17, 31, -58, -24, 53, 78, 68, 68, 
39, 43, 4, -41, 17, 24, -53, -19, 53, 78, 63, 68, 
34, 43, 9, -39, 12, 26, -43, -19, 58, 82, 63, 68, 
29, 43, 14, -36, 7, 29, -39, -19, 58, 78, 63, 68, 
24, 39, 14, -31, 4, 26, -34, -14, 63, 78, 63, 58, 
19, 34, 14, -26, 2, 24, -29, -14, 63, 68, 58, 58, 
19, 34, 14, -26, 2, 24, -24, 0, 63, 73, 53, 48, 
19, 29, 9, -24, 4, 19, -19, 0, 63, 68, 48, 48, 
14, 24, 9, -19, 2, 17, -14, 0, 58, 68, 43, 43, 
9, 24, 14, -17, -2, 19, -14, 0, 58, 63, 43, 43, 
4, 14, 9, -9, -2, 12, -9, 0, 58, 63, 39, 34, 
0, 19, 19, -9, -9, 19, 0, 0, 53, 63, 39, 34, 
-9, 19, 29, -4, -19, 24, 0, 0, 53, 63, 39, 34, 
-9, 14, 24, -2, -17, 19, 0, 0, 58, 58, 39, 34, 
-9, 9, 19, 0, -14, 14, 0, 0, 58, 53, 39, 29, 
-9, 4, 14, 2, -12, 9, 4, 4, 53, 43, 34, 24, 
-14, -9, 4, 12, -9, -2, 0, -9, 43, 39, 24, 14, 
-14, -14, 0, 14, -7, -7, 4, -9, 39, 39, 19, 14, 
-19, -14, 4, 17, -12, -4, 9, -9, 39, 34, 19, 14, 
-19, -19, 0, 19, -9, -9, 9, -9, 39, 34, 19, 19, 
-14, -19, -4, 17, -4, -12, 14, -9, 39, 34, 19, 19, 
-14, -24, -9, 19, -2, -17, 14, -9, 39, 34, 19, 19, 
-14, -29, -14, 21, 0, -21, 19, -14, 39, 34, 19, 14, 
-14, -29, -14, 21, 0, -21, 19, -14, 34, 29, 19, 14, 
-14, -34, -19, 24, 2, -26, 24, -14, 34, 24, 14, 14, 
-9, -34, -24, 21, 7, -29, 24, -19, 29, 24, 14, 9, 
-9, -34, -24, 21, 7, -29, 24, -19, 29, 24, 14, 9, 
-14, -39, -24, 26, 4, -31, 24, -19, 29, 19, 14, 9, 
-14, -39, -24, 26, 4, -31, 29, -19, 29, 24, 14, 4, 
-14, -34, -19, 24, 2, -26, 29, -24, 29, 24, 14, 4, 
-9, -34, -24, 21, 7, -29, 24, -24, 24, 19, 14, 0, 
-9, -34, -24, 21, 7, -29, 24, -24, 24, 19, 14, 0, 
-9, -34, -24, 21, 7, -29, 24, -29, 19, 19, 14, 0, 
-14, -29, -14, 21, 0, -21, 24, -29, 19, 19, 14, 0, 
-14, -24, -9, 19, -2, -17, 19, -29, 24, 9, 14, 0, 
-9, -19, -9, 14, 0, -14, 19, -29, 24, 9, 14, 0, 
-9, -19, -9, 14, 0, -14, 14, -29, 19, 9, 14, 4, 
-14, -14, 0, 14, -7, -7, 14, -24, 19, 9, 14, 4, 
-14, -14, 0, 14, -7, -7, 14, -24, 19, 9, 14, 4, 
-14, -9, 4, 12, -9, -2, 14, -19, 19, 9, 14, 4, 
-14, -9, 4, 12, -9, -2, 14, -19, 19, 9, 14, 4, 
-19, -9, 9, 14, -14, 0, 14, -14, 19, 14, 14, 9, 
-19, -14, 4, 17, -12, -4, 14, -14, 19, 14, 14, 9, 
-24, -14, 9, 19, -17, -2, 14, -14, 19, 14, 9, 9, 
-24, -9, 14, 17, -19, 2, 14, -9, 19, 9, 9, 9, 
-24, -9, 14, 17, -19, 2, 14, -9, 19, 9, 9, 9, 
-24, -9, 14, 17, -19, 2, 14, -9, 19, 9, 14, 14, 
-29, -9, 19, 19, -24, 4, 19, -9, 19, 14, 14, 9, 
-29, -9, 19, 19, -24, 4, 19, -9, 14, 14, 14, 9, 
-29, -14, 14, 21, -21, 0, 19, -9, 14, 14, 14, 9, 
-29, -14, 14, 21, -21, 0, 19, -9, 14, 14, 14, 9, 
-29, -19, 9, 24, -19, -4, 19, 0, 14, 9, 14, 9, 
-29, -24, 4, 26, -17, -9, 19, 0, 14, 9, 9, 9, 
-24, -24, 0, 24, -12, -12, 19, 0, 9, 9, 9, 9, 
-24, -24, 0, 24, -12, -12, 19, 0, 9, 4, 9, 9, 
-24, -24, 0, 24, -12, -12, 19, 0, 4, 4, 9, 9, 
-24, -29, -4, 26, -9, -17, 19, 0, 4, 4, 9, 9, 
-29, -34, -4, 31, -12, -19, 19, 0, 0, 4, 4, 9, 
-29, -34, -4, 31, -12, -19, 14, 0, 0, 0, 4, 4, 
-29, -39, -9, 34, -9, -24, 14, -14, -9, 0, 0, 4, 
-29, -43, -14, 36, -7, -29, 14, -14, -9, -9, 0, 4, 
-29, -43, -14, 36, -7, -29, 14, -14, -14, -9, -9, 0, 
-29, -43, -14, 36, -7, -29, 14, -14, -19, -9, -9, 0, 
-29, -43, -14, 36, -7, -29, 14, -14, -19, -9, -9, 4, 
-29, -43, -14, 36, -7, -29, 14, -19, -14, -14, 0, 4, 
-29, -43, -14, 36, -7, -29, 14, -19, -19, -14, 0, 4, 
-29, -43, -14, 36, -7, -29, 14, -19, -19, -14, -9, 0, 
